16541	585	15	7	2008-09-01	31	30	-1	.........	.......2.	\N	0.00	\N	\N	2010-07-06 12:43:12.833526	2010-07-06 12:43:12.833526	1	\N	\N
16542	574	15	7	2008-09-01	21	18	-3	\N	\N	\N	12.00	\N	\N	2010-07-06 12:43:12.868128	2010-07-06 12:43:12.868128	3	\N	\N
16543	827	15	6	2008-09-01	24	20	-4	\N	\N	\N	0.00	\N	\N	2010-07-06 12:43:12.902384	2010-07-06 12:43:12.902384	1	\N	\N
16544	578	16	6	2008-09-03	27	29	2	........2	.........	\N	24.00	\N	\N	2010-07-06 12:43:12.936721	2010-07-06 12:43:12.936721	3	\N	\N
16545	810	16	7	2008-09-03	24	22	-2	...3.....	.........	\N	16.00	\N	\N	2010-07-06 12:43:12.971409	2010-07-06 12:43:12.971409	2	\N	\N
16546	580	16	7	2008-09-03	33	35	2	...3.....	.........	\N	0.00	\N	\N	2010-07-06 12:43:13.007221	2010-07-06 12:43:13.007221	4	\N	\N
16547	603	16	7	2008-09-03	30	28	-2	.4.......	.........	\N	0.00	\N	\N	2010-07-06 12:43:13.042235	2010-07-06 12:43:13.042235	1	\N	\N
16548	581	16	7	2008-09-03	25	19	-6	\N	\N	\N	0.00	\N	\N	2010-07-06 12:43:13.077387	2010-07-06 12:43:13.077387	1	\N	\N
16549	615	16	7	2008-09-03	30	26	-4	.........	....4....	\N	0.00	\N	\N	2010-07-06 12:43:13.128404	2010-07-06 12:43:13.128404	5	\N	\N
16550	572	16	5	2008-09-03	37	32	-5	.......4.	.........	\N	0.00	\N	\N	2010-07-06 12:43:13.163396	2010-07-06 12:43:13.163396	4	\N	\N
16551	595	16	7	2008-09-03	30	31	1	2........	.........	\N	0.00	\N	\N	2010-07-06 12:43:13.198151	2010-07-06 12:43:13.198151	5	\N	\N
16552	827	16	6	2008-09-03	23	26	3	......3..	.........	\N	16.00	\N	\N	2010-07-06 12:43:13.233642	2010-07-06 12:43:13.233642	2	\N	\N
16553	610	16	7	2008-09-03	26	27	1	......3..	.........	\N	24.00	\N	\N	2010-07-06 12:43:13.637318	2010-07-06 12:43:13.637318	3	\N	\N
16554	580	17	7	2008-09-05	33	35	2	.4.......	.........	\N	0.00	\N	\N	2010-07-06 12:43:13.675682	2010-07-06 12:43:13.675682	2	\N	\N
16555	603	17	7	2008-09-05	30	28	-2	.4.......	.........	\N	24.00	\N	\N	2010-07-06 12:43:13.713389	2010-07-06 12:43:13.713389	3	\N	\N
16556	572	17	5	2008-09-05	37	31	-6	.........	..3......	\N	0.00	\N	\N	2010-07-06 12:43:13.749722	2010-07-06 12:43:13.749722	1	\N	\N
16557	595	17	7	2008-09-05	30	32	2	.......4.	.........	\N	0.00	\N	\N	2010-07-06 12:43:13.785429	2010-07-06 12:43:13.785429	1	\N	\N
16558	903	17	6	2008-09-05	22	18	-4	\N	\N	\N	0.00	\N	\N	2010-07-06 12:43:13.821591	2010-07-06 12:43:13.821591	1	\N	\N
16559	617	17	7	2008-09-05	16	19	3	\N	\N	\N	0.00	\N	\N	2010-07-06 12:43:13.856496	2010-07-06 12:43:13.856496	2	\N	\N
16560	839	17	6	2008-09-05	31	29	-2	\N	\N	\N	0.00	\N	\N	2010-07-06 12:43:13.891607	2010-07-06 12:43:13.891607	2	\N	\N
16561	906	17	7	2008-09-05	18	22	4	....3....	.........	\N	24.00	\N	\N	2010-07-06 12:43:13.926831	2010-07-06 12:43:13.926831	3	\N	\N
16562	610	17	7	2008-09-05	26	31	5	...3.....	.........	\N	24.00	\N	\N	2010-07-06 12:43:13.962204	2010-07-06 12:43:13.962204	3	\N	\N
16563	578	18	6	2008-09-07	28	28	0	.....3...	.........	\N	24.00	\N	\N	2010-07-06 12:43:13.997486	2010-07-06 12:43:13.997486	4	\N	\N
16564	612	18	7	2008-09-07	23	23	0	.........	...4.....	\N	8.00	\N	\N	2010-07-06 12:43:14.032566	2010-07-06 12:43:14.032566	2	\N	\N
16565	810	18	7	2008-09-07	24	20	-4	\N	\N	\N	0.00	\N	\N	2010-07-06 12:43:14.066703	2010-07-06 12:43:14.066703	5	\N	\N
16566	579	18	7	2008-09-07	27	23	-4	\N	\N	\N	0.00	\N	\N	2010-07-06 12:43:14.117212	2010-07-06 12:43:14.117212	3	\N	\N
16567	580	18	7	2008-09-07	33	36	3	2........	.........	\N	8.00	\N	\N	2010-07-06 12:43:14.151908	2010-07-06 12:43:14.151908	1	\N	\N
